id,fieldata_fieldid,fieldata_optionvalues,fielddata_codes,actiontaken,isActive
187746,175229,Yes,1,0,
187747,175229,No,2,0,
187748,175233,Surgical,1,0,
187749,175233,conservative,2,0,
187750,175237,External,1,0,
187751,175237,Internal,2,0,
187752,175243,Ambulance,1,0,
187753,175243,Taxi,2,0,
187754,175243,Own,3,0,
187755,175243,Auto,4,0,
187756,175250,Yes,1,0,
187757,175250,No,2,0,
187758,175252,Yes,1,0,
187759,175252,No,2,0,
187760,175255,Yes,1,0,
187761,175255,No,2,0,
187762,175257,Yes,1,0,
187763,175257,No,2,0,
187764,175259,Yes,1,0,
187765,175259,No,2,0,
187766,175261,Yes,1,0,
187767,175261,No,2,0,
187768,175263,Yes,1,0,
187769,175263,No,2,0,
187770,175267,Yes,1,0,
187771,175267,No,2,0,
187772,175271,Yes,1,0,
187773,175271,No,2,0,
187774,175274,Yes,1,0,
187775,175274,No,2,0,
187776,175277,Yes,1,0,
187777,175277,No,2,0,
187778,175281,Yes,1,0,
187779,175281,No,2,0,
187780,175283,Yes,1,0,
187781,175283,No,2,0,
187782,175285,Yes,1,0,
187783,175285,No,2,0,
187784,175287,Yes,1,0,
187785,175287,No,2,0,
187786,175289,Yes,1,0,
187787,175289,No,2,0,
187788,175306,Yes,1,0,
187789,175306,No,2,0,
187790,175313,External,1,0,
187791,175313,Internal,2,0,
187792,175322,Yes,1,0,
187793,175322,No,2,0,
187794,175330,Yes,1,0,
187795,175330,No,2,0,
187796,175338,Yes,1,0,
187797,175338,No,2,0,
187798,175345,Yes,1,0,
187799,175345,No,2,0,
187800,175372,single room,1,0,
187801,175372,shared,2,0,
187802,175372,deluxe,3,0,
187803,175372,1st floor,4,0,
187804,175372,2nd Floor,5,0,
187805,175374,Yes,1,0,
187806,175374,No,2,0,
187807,175375,Yes,1,0,
187808,175375,No,2,0,
187809,175376,Yes,1,0,
187810,175376,No,2,0,
187811,175378,Yes,1,0,
187812,175378,No,2,0,
187813,175380,Yes,1,0,
187814,175380,No,2,0,
187815,175382,Yes,1,0,
187816,175382,No,2,0,
187817,175384,Yes,1,0,
187818,175384,No,2,0,
187819,175386,Yes,1,0,
187820,175386,No,2,0,
187821,175389,Yes,1,0,
187822,175389,No,2,0,
187823,175391,Father,1,0,
187824,175391,Mother,2,0,
187825,175391,Sister,3,0,
187826,175391,Brother,4,0,
187827,175391,Son,5,0,
187828,175391,Daughter,6,0,
187829,175391,Relative,7,0,
187830,175395,Yes,1,0,
187831,175395,No,2,0,
187832,175397,Yes,1,0,
187833,175397,No,2,0,
187834,175399,Yes,1,0,
187835,175399,No,2,0,
187836,175401,Yes,1,0,
187837,175401,No,2,0,
187838,175403,Yes,1,0,
187839,175403,No,2,0,
187840,175410,Yes,1,0,
187841,175410,No,2,0,
187842,175412,Yes,1,0,
187843,175412,No,2,0,
187844,175414,Yes,1,0,
187845,175414,No,2,0,
187846,175416,Yes,1,0,
187847,175416,No,2,0,
187848,175418,Yes,1,0,
187849,175418,No,2,0,
187850,175420,Yes,1,0,
187851,175420,No,2,0,
187852,175422,Yes,1,0,
187853,175422,No,2,0,
187854,175424,Yes,1,0,
187855,175424,No,2,0,
187856,175426,Yes,1,0,
187857,175426,No,2,0,
187858,175428,Yes,1,0,
187859,175428,No,2,0,
187860,175430,Yes,1,0,
187861,175430,No,2,0,
187862,175432,Yes,1,0,
187863,175432,No,2,0,
187864,175434,Yes,1,0,
187865,175434,No,2,0,
187866,175436,Yes,1,0,
187867,175436,No,2,0,
187868,175438,Yes,1,0,
187869,175438,No,2,0,
187870,175440,Yes,1,0,
187871,175440,No,2,0,
187872,175442,Yes,1,0,
187873,175442,No,2,0,
