id,fieldsec_secid,fieldsec_fieldid,fieldsecsort
144644,110599,175216,1
144646,110599,175218,3
144647,110599,175219,4
144648,110599,175220,5
144649,110599,175221,6
144650,110599,175222,7
144651,110599,175223,8
144652,110599,175224,9
144653,110599,175225,10
144654,110599,175226,11
144655,110599,175227,12
144656,110599,175228,13
144657,110599,175229,14
144658,110599,175230,15
144659,110599,175231,16
144660,110599,175232,17
144661,110599,175233,18
144662,110599,175234,19
144663,110599,175235,20
144664,110599,175236,21
144665,110599,175237,22
144666,110599,175238,23
144667,110599,175239,24
144668,110599,175240,25
144669,110599,175241,26
144671,110600,175242,2
144672,110600,175243,3
144673,110600,175244,4
144674,110600,175245,5
144675,110600,175246,6
144676,110600,175247,7
144677,110600,175248,8
144678,110600,175249,9
144679,110600,175250,10
144680,110600,175251,11
144681,110600,175252,12
144683,110600,175254,14
144684,110600,175255,15
144685,110600,175256,16
144686,110600,175257,17
144687,110600,175258,18
144688,110601,175259,1
144689,110601,175260,2
144690,110601,175261,3
144691,110601,175262,4
144692,110601,175263,5
144693,110601,175264,6
144694,110601,175265,7
144695,110601,175266,8
144696,110601,175267,9
144698,110601,175269,11
144699,110601,175270,12
144700,110601,175271,13
144701,110601,175272,14
144702,110601,175273,15
144703,110601,175274,16
144704,110601,175275,17
144705,110601,175276,18
144706,110601,175277,19
144707,110601,175278,20
144708,110601,175279,21
144709,110601,175280,22
144710,110601,175281,23
144711,110601,175282,24
144712,110601,175283,25
144713,110601,175284,26
144714,110601,175285,27
144715,110601,175286,28
144716,110601,175287,29
144717,110601,175288,30
144718,110601,175289,31
144719,110601,175290,32
144720,110601,175291,33
144721,110601,175292,34
144723,110602,175294,1
144724,110602,175295,2
144725,110602,175296,3
144726,110602,175297,4
144727,110603,175298,1
144728,110603,175299,5
144729,110603,175300,2
144730,110603,175301,3
144732,110603,175303,4
144734,110603,175304,7
144735,110603,175305,8
144736,110603,175306,9
144737,110603,175307,10
144738,110603,175308,11
144739,110603,175309,12
144740,110603,175310,13
144741,110603,175311,14
144743,110603,175313,16
144744,110603,175314,17
144745,110603,175315,18
144746,110603,175316,19
144747,110603,175317,20
144748,110604,175318,1
144749,110604,175319,2
144750,110604,175320,3
144751,110604,175321,4
144752,110604,175322,5
144753,110604,175323,6
144754,110604,175324,7
144756,110604,175326,9
144757,110604,175327,10
144758,110604,175328,11
144759,110604,175329,12
144760,110604,175330,13
144761,110604,175331,14
144762,110604,175332,15
144763,110604,175333,16
144764,110604,175334,17
144765,110604,175335,18
144766,110604,175336,19
144768,110604,175338,21
144769,110604,175339,22
144770,110604,175340,23
144771,110604,175341,24
144772,110604,175342,25
144773,110604,175343,26
144774,110604,175344,27
144775,110604,175345,28
144776,110604,175346,29
144777,110604,175347,30
144778,110605,175348,1
144780,110605,175350,3
144782,110605,175352,5
144783,110605,175353,6
144784,110605,175354,7
144785,110605,175355,8
144786,110605,175356,9
144787,110605,175357,10
144788,110606,175358,1
144789,110606,175359,2
144790,110606,175360,3
144791,110606,175361,5
144792,110606,175362,4
144793,110606,175363,6
144794,110606,175364,7
144795,110606,175365,8
144796,110606,175366,9
144797,110606,175367,10
144798,110606,175368,11
144799,110606,175369,12
144800,110606,175370,13
144801,110606,175371,14
144802,110607,175372,1
144803,110607,175373,2
144804,110607,175374,3
144805,110607,175375,4
144806,110608,175376,1
144807,110608,175377,2
144808,110608,175378,3
144809,110608,175379,4
144810,110608,175380,5
144811,110608,175381,6
144812,110608,175382,7
144813,110608,175383,8
144814,110608,175384,9
144815,110608,175385,10
144816,110608,175386,11
144817,110608,175387,12
144818,110608,175388,13
144819,110608,175389,14
144820,110608,175390,15
144821,110608,175391,16
144822,110608,175392,17
144823,110608,175393,18
144824,110608,175394,19
144825,110609,175395,1
144826,110609,175396,2
144827,110609,175397,3
144828,110609,175398,4
144829,110609,175399,5
144830,110609,175400,6
144831,110609,175401,7
144832,110609,175402,8
144833,110609,175403,9
144834,110609,175404,10
144838,110609,175410,11
144839,110609,175411,12
144840,110609,175412,13
144841,110609,175413,14
144842,110609,175414,15
144843,110609,175415,16
144844,110609,175416,17
144845,110609,175417,18
144846,110609,175418,19
144847,110609,175419,20
144848,110609,175420,21
144849,110609,175421,22
