fielddependencyid,fielddependencyfieldid,fielddependencydependentfieldid,fielddependencyvaluesid
92318,175251,175250,187756
92319,175254,175252,187758
92320,175256,175255,187760
92321,175258,175257,187762
92322,175260,175259,187764
92323,175261,175259,187764
92325,175264,175263,187769
92326,175265,175263,187768
92328,175266,175263,187768
92331,175269,175267,187770
92332,175269,175267,187771
92333,175270,175267,187771
92334,175272,175271,187772
92335,175272,175271,187773
92336,175273,175271,187773
92337,175275,175274,187774
92338,175275,175274,187775
92340,175276,175274,187775
92341,175278,175277,187776
92342,175278,175277,187777
92343,175279,175277,187777
92344,175282,175281,187778
92345,175282,175281,187779
92346,175284,175283,187780
92347,175284,175283,187781
92348,175286,175285,187782
92349,175286,175285,187783
92350,175288,175287,187784
92351,175288,175287,187785
92352,175290,175289,187786
92353,175290,175289,187787
92354,175323,175322,187792
92355,175324,175322,187793
92356,175331,175330,187794
92357,175332,175330,187795
92358,175339,175338,187796
92359,175340,175338,187797
92360,175346,175345,187798
92361,175347,175345,187799
92362,175377,175376,187809
92363,175377,175376,187810
92364,175379,175378,187811
92365,175379,175378,187812
92366,175381,175380,187813
92367,175381,175380,187814
92368,175383,175382,187815
92369,175383,175382,187816
92370,175385,175384,187817
92371,175385,175384,187818
92372,175387,175306,187788
92373,175387,175306,187789
92374,175388,175306,187788
92375,175390,175389,187821
92376,175396,175395,187830
92377,175398,175397,187832
92378,175400,175399,187834
92379,175402,175401,187836
92381,175404,175403,187838
92382,175411,175410,187840
92383,175413,175412,187842
92384,175415,175414,187844
92385,175417,175416,187846
92386,175419,175418,187848
92387,175421,175420,187850
92388,175423,175422,187852
92389,175425,175424,187854
92390,175427,175426,187856
92391,175429,175428,187858
92392,175431,175430,187860
92393,175433,175432,187862
92394,175435,175434,187864
92395,175437,175436,187866
92396,175439,175438,187868
92397,175441,175440,187870
92398,175443,175442,187872
92399,175446,175445,187876
92400,175448,175447,187878
92401,175450,175449,187880
92402,175450,175449,187881
92403,175490,175489,187894
92404,175490,175489,187895
92405,175511,175510,187916
92406,175513,175512,187918
92407,175515,175514,187920
92408,175517,175516,187922
92410,175521,175520,187926
92411,175523,175522,187928
92412,175525,175524,187930
92413,175527,175526,187932
92414,175529,175528,187934
92415,175531,175420,187850
92416,175533,175422,187852
92417,175535,175424,187854
92418,175537,175536,187942
92419,175539,175538,187944
92420,175541,175430,187860
92421,175543,175542,187948
92423,175548,175547,187954
92424,175550,175549,187956
92425,175552,175551,187958
92426,175554,175442,187872
92427,175556,175555,187962
92428,175558,175557,187964
92429,175560,175449,187880
92430,175596,175595,187970
92431,175597,175595,187971
92432,175603,175602,187972
92433,175604,175602,187973
92434,175611,175610,187974
92435,175612,175610,187975
92436,175621,175620,187976
92437,175622,175620,187977
92438,175664,175663,187989
92439,175666,175665,187991
92440,175668,175667,187993
92441,175670,175669,187995
92442,175672,175671,187997
92443,175675,175671,187997
92444,175677,175676,188003
92445,175679,175678,188005
92446,175681,175680,188007
92447,175683,175682,188009
92448,175685,175684,188011
92449,175687,175686,188013
92450,175689,175688,188015
92451,175691,175384,187817
92452,175694,175693,188019
92453,175695,175693,188019
92454,175697,175696,188021
92455,175702,175701,188030
92456,175704,175703,188032
92457,175706,175705,188034
92458,175708,175707,188036
92460,175712,175711,188040
92461,175714,175412,187842
92462,175716,175715,188044
92463,175718,175416,187846
92464,175720,175528,187934
92465,175722,175715,188044
92466,175724,175532,187938
92467,175726,175424,187854
92468,175728,175536,187942
92470,175731,175730,188058
92471,175733,175732,188060
92472,175735,175432,187862
92473,175737,175736,188064
92474,175740,175739,188068
92475,175742,175741,188070
92476,175744,175743,188072
92477,175746,175745,188074
92478,175748,175555,187962
92479,175750,175749,188078
92480,175752,175751,188080
92481,175691,175690,188017
92482,175710,175709,188038
92483,175714,175713,188042
92484,175718,175717,188046
92485,175720,175719,188048
92486,175722,175721,188050
92487,175724,175723,188052
92488,175726,175725,188054
92489,175728,175727,188056
92490,175735,175734,188062
92491,175748,175747,188076
92492,175262,175261,187766
92493,175519,175518,187924
92494,175531,175530,187936
92495,175533,175532,187938
92496,175535,175534,187940
92497,175541,175540,187946
92498,175546,175544,187950
92499,175554,175553,187960
92500,175560,175559,187966
92501,175387,175386,187819
92502,175388,175386,187819
92503,175387,175386,187820
92504,175390,175389,187822
92505,175396,175395,187831
92506,175398,175397,187833
92507,175400,175399,187835
92508,175402,175401,187837
92509,175404,175403,187839
92510,175411,175410,187841
92511,175413,175412,187843
92512,175415,175414,187845
92513,175417,175416,187847
92514,175419,175418,187849
92515,175421,175420,187851
92516,175423,175422,187853
92517,175425,175424,187855
92518,175427,175426,187857
92519,175429,175428,187859
92520,175431,175430,187861
92521,175433,175432,187863
92522,175435,175434,187865
92523,175437,175436,187867
92524,175439,175438,187869
92525,175441,175440,187871
92526,175443,175442,187873
92527,175446,175445,187877
92528,175448,175447,187879
92529,175450,175449,187881
